hh,load
1,29490
2,30135
3,30448
4,29381
5,28667
6,28175
7,27248
8,26366
9,26473
10,26221
11,25356
12,25180
13,25667
14,25944
15,26005
16,25728
17,25912
18,26662
19,27020
20,28446
21,30054
22,31276
23,32490
24,33499
25,34379
26,34808
27,34983
28,34939
29,34946
30,34988
31,35345
32,35912
33,37424
34,38778
35,39477
36,39124
37,38441
38,37560
39,36569
40,35735
41,34842
42,33592
43,32266
44,31042
45,30050
46,29150
47,27379
48,26732
49,26418
50,26575
51,26896
52,26688
53,26604
54,26498
55,26001
56,25485
57,25571
58,25564
59,25699
60,25958
61,25461
62,26688
63,28633
64,29978
65,31408
66,32921
67,34579
68,35324
69,35668
70,35744
71,36083
72,36199
73,36364
74,36397
75,36484
76,36466
77,36833
78,37251
79,37861
80,39007
81,41297
82,44813
83,46139
84,45716
85,45342
86,44723
87,43404
88,42026
89,40590
90,39028
91,37726
92,35975
93,34381
94,32902
95,31157
96,29808
97,29433
98,29420
99,29819
100,29599
101,28964
102,28506
103,28156
104,27526
105,26939
106,26861
107,26868
108,27269
109,27999
110,28064
111,28909
112,30074
113,31913
114,33814
115,35958
116,37678
117,38952
118,39515
119,40121
120,40515
121,40856
122,40757
123,40514
124,40196
125,39859
126,39579
127,39708
128,40349
129,42127
130,44706
131,46126
132,46362
133,45915
134,44810
135,43777
136,42321
137,41059
138,39790
139,38432
140,36988
141,35648
142,34480
143,32756
144,31655
145,31412
146,31322
147,31577
148,30887
149,30193
150,29983
151,29528
152,29012
153,28606
154,28344
155,28332
156,28412
157,28826
158,29224
159,29868
160,29980
161,30513
162,32190
163,34194
164,35821
165,37460
166,38588
167,39507
168,40076
169,40682
170,40856
171,40773
172,40601
173,40797
174,40908
175,41388
176,42321
177,44391
178,46629
179,47394
180,47384
181,46823
182,45756
183,44783
184,43646
185,42388
186,40893
187,39317
188,37310
189,35591
190,33739
191,31697
192,30599
193,30436
194,30390
195,30480
196,30323
197,29841
198,29800
199,29562
200,29078
201,28710
202,28674
203,29002
204,29988
205,32470
206,35662
207,39482
208,41768
209,43161
210,43937
211,44992
212,45401
213,45697
214,46062
215,46164
216,46248
217,46467
218,46409
219,46283
220,46180
221,46423
222,46510
223,46596
224,47525
225,49153
226,50434
227,50746
228,50483
229,50301
230,50001
231,49042
232,47430
233,45919
234,44048
235,41978
236,39468
237,37293
238,34990
239,32591
240,31364
241,31257
242,31453
243,31384
244,31038
245,30658
246,30380
247,29981
248,29463
249,29066
250,28974
251,29257
252,29979
253,31998
254,35624
255,39669
256,42263
257,43554
258,43747
259,44488
260,44722
261,44834
262,44766
263,44618
264,44511
265,44500
266,44291
267,44157
268,44002
269,44056
270,44116
271,44244
272,45361
273,47459
274,50208
275,50752
276,50634
277,50526
278,50555
279,49647
280,48253
281,46932
282,44824
283,42885
284,40492
285,38017
286,35810
287,33107
288,31884
289,32045
290,32444
291,32143
292,31730
293,31183
294,30945
295,30591
296,29890
297,29399
298,29166
299,29707
300,30384
301,32612
302,35964
303,40183
304,42528
305,43204
306,42976
307,43888
308,44120
309,44286
310,44402
311,44591
312,44905
313,45127
314,45077
315,44704
316,45073
317,45095
318,44788
319,44942
320,46142
321,48602
322,50227
323,50639
324,50227
325,49694
326,48725
327,47535
328,46114
329,44694
330,42747
331,40654
332,38286
333,36235
334,34166
335,31777
336,30330
337,30386
338,30765
339,31042
340,30411
341,30012
342,29916
343,29529
344,28916
345,28527
346,28559
347,29255
348,30335
349,32519
350,35862
351,40244
352,42756
353,43784
354,43820
355,44545
356,45057
357,44957
358,44947
359,44665
360,44585
361,44546
362,43878
363,43376
364,43053
365,43163
366,43360
367,43500
368,44638
369,46596
370,49192
371,50108
372,50121
373,49932
374,49477
375,48488
376,46855
377,45023
378,42747
379,40532
380,38155
381,36112
382,33901
383,31839
384,30990
385,30857
386,31121
387,31174
388,30687
389,30325
390,30119
391,29598
392,29084
393,28623
394,28395
395,29090
396,29629
397,31883
398,34900
399,39051
400,41589
401,42602
402,42336
403,42735
404,42653
405,42226
406,41999
407,41929
408,41826
409,42041
410,42235
411,42185
412,42466
413,42896
414,42919
415,43081
416,44166
417,46205
418,47578
419,48234
420,47989
421,47440
422,46357
423,44864
424,43076
425,41538
426,39553
427,37906
428,35765
429,34005
430,32579
431,30598
432,29352
433,28844
434,29177
435,29502
436,29093
437,28417
438,28039
439,27671
440,26976
441,26380
442,26182
443,26181
444,26364
445,27613
446,28195
447,28849
448,30165
449,31797
450,33454
451,35056
452,35941
453,36663
454,36942
455,37421
456,37411
457,37364
458,37141
459,36779
460,36382
461,36430
462,36266
463,36735
464,37458
465,39379
466,42290
467,44290
468,44831
469,44597
470,43781
471,42273
472,40355
473,38971
474,37704
475,36429
476,34797
477,33477
478,32496
479,30861
480,29669
481,29329
482,29410
483,28966
484,28325
485,27777
486,27767
487,27627
488,27195
489,26661
490,26391
491,26281
492,26462
493,27047
494,27392
495,27568
496,28070
497,28985
498,30842
499,32697
500,34192
501,35496
502,36264
503,36649
